ident,windSpeed,windDirection,weatherType,visibility,temperature
VIDP,59,81,storm,9,35
VABB,46,233,cloudy,3,25
VOMM,56,18,cloudy,10,26
VOBL,25,18,storm,8,26
VECC,16,121,clear,12,33
VOHS,38,99,rain,3,28
VOGO,52,305,rain,3,33
VOCI,49,170,cloudy,10,26
VOTV,40,207,rain,7,25
VAAH,54,48,storm,9,27
VIJP,20,90,clear,9,26
VAPO,55,6,rain,3,26
VEBN,49,31,cloudy,5,33
VIAR,29,29,storm,6,29
VABO,54,153,clear,11,33
VEBS,44,335,cloudy,9,35
VILK,51,80,cloudy,3,29
VOML,33,144,rain,9,25
VOCB,49,85,clear,12,27
VOCL,37,179,rain,8,28
VIJO,42,142,clear,8,27
VOPB,48,132,rain,6,29
VOHY,18,77,rain,3,29
VICG,55,159,cloudy,5,28
VEGT,19,307,clear,12,33
VILH,50,160,storm,8,31
VEBD,54,200,clear,9,35
VAID,47,339,cloudy,3,28
VOMD,35,59,cloudy,4,31
VEPT,32,326,clear,11,25
VISR,30,162,cloudy,7,35
VAUD,29,228,storm,5,31
VANP,60,217,rain,6,30
VASU,59,211,cloudy,6,30
VABP,37,87,storm,8,32
VABJ,32,26,storm,8,32
VOBZ,34,114,storm,8,35
VOTP,15,67,cloudy,8,26
VAAU,52,61,rain,3,33
VIJU,56,42,storm,8,31
VERC,18,206,rain,9,28
VIAG,57,108,clear,9,25
VEMN,38,124,cloudy,6,33
VOKN,34,235,storm,9,30
VIBR,21,175,clear,11,34
VEAT,41,112,cloudy,9,32
VABV,23,36,clear,10,27
VEIM,57,53,storm,3,31
VAJB,57,64,cloudy,4,33
VEJT,24,277,cloudy,7,30
VORY,17,74,cloudy,10,28
VARK,58,113,rain,10,31
VAOZ,32,149,storm,7,29
VISM,59,225,rain,9,31
VIDN,49,129,rain,7,32
VAJM,17,217,storm,3,25
VEKU,55,280,rain,8,29
VOAT,50,281,clear,9,33
VEDH,45,17,clear,9,25
VAKS,52,192,cloudy,3,28
VOPN,28,151,rain,5,34
VEGY,17,332,cloudy,5,25
VIGR,20,314,rain,9,35
VAPR,31,55,clear,11,33
VOTR,58,252,cloudy,10,34
VELP,25,38,cloudy,8,27
VEDG,44,119,storm,9,34
VAKE,54,336,clear,8,29
VEJS,24,273,clear,11,28
VEDO,46,308,storm,8,32
VAKP,60,292,storm,5,26
VEBI,42,0,cloudy,10,26
VEBU,39,168,cloudy,4,29
VIHR,42,305,clear,10,33
VOCP,36,244,cloudy,7,28
VIGG,27,117,cloudy,9,35
VIPK,39,42,cloudy,6,26
VOBI,55,83,storm,3,27
VEKR,34,158,clear,12,26
VIKO,60,0,cloudy,5,32
VERK,60,341,cloudy,8,26
VIDX,51,324,cloudy,10,34
VAJL,45,124,storm,6,34
VOMY,20,358,rain,9,33
VEBG,19,102,rain,4,26
VEKW,54,49,clear,12,32
VEMH,37,250,cloudy,7,34
VEKM,41,235,rain,5,33
VEPG,18,134,storm,10,26
VETJ,24,52,rain,10,33
VOTJ,59,59,cloudy,5,31
VOJV,18,48,rain,8,27
VOGA,41,343,rain,3,35
VAHS,55,148,rain,6,32
VEMR,17,357,clear,12,26
VELR,42,72,clear,12,26
VIBY,45,126,clear,12,28
VEGK,50,173,cloudy,9,25
VALT,54,170,rain,9,32
VOKU,56,272,storm,3,25
VIPT,21,305,rain,3,28
VOPC,46,73,cloudy,4,31
VAAK,30,322,clear,11,29
VIBK,47,260,clear,12,35
VADN,54,112,storm,10,30
VOCX,54,276,storm,7,35
VEMZ,33,69,rain,8,33
VOSM,26,115,clear,11,26
VASL,21,38,clear,11,28
VEZO,43,267,rain,4,28
VIAX,42,36,clear,12,26
VOGB,37,178,clear,8,30
VOTK,43,224,storm,7,33
VECO,36,5,clear,8,34
VEDZ,57,359,storm,9,25
VEJP,35,124,storm,9,29
VONV,53,224,cloudy,7,31
VORG,34,132,rain,7,25
VERU,35,242,cloudy,4,35
VOWA,30,305,cloudy,9,34
